onset	duration	trial_type	value	sample
14.567	0.0	99	5	14567
15.067	0.0	10	1	15067
16.59	0.0	210	3	16590
17.114	0.0	10	1	17114
18.623	0.0	210	3	18623
19.145	0.0	10	1	19145
20.657	0.0	210	3	20657
21.18	0.0	10	1	21180
22.691	0.0	210	3	22691
23.214	0.0	10	1	23214
24.724	0.0	210	3	24724
25.246	0.0	10	1	25246
26.757	0.0	210	3	26757
27.281	0.0	10	1	27281
28.79	0.0	210	3	28790
29.314	0.0	10	1	29314
30.84	0.0	210	3	30840
31.362	0.0	10	1	31362
32.873	0.0	210	3	32873
33.394	0.0	10	1	33394
34.906	0.0	210	3	34906
35.429	0.0	10	1	35429
36.94	0.0	210	3	36940
37.461	0.0	10	1	37461
38.973	0.0	210	3	38973
39.494	0.0	10	1	39494
41.006	0.0	210	3	41006
41.53	0.0	10	1	41530
43.056	0.0	210	3	43056
43.582	0.0	10	1	43582
45.106	0.0	210	3	45106
45.627	0.0	10	1	45627
47.14	0.0	210	3	47140
47.661	0.0	10	1	47661
49.172	0.0	210	3	49172
49.694	0.0	10	1	49694
51.205	0.0	210	3	51205
51.727	0.0	10	1	51727
53.24	0.0	210	3	53240
53.763	0.0	10	1	53763
55.272	0.0	210	3	55272
55.794	0.0	10	1	55794
57.305	0.0	210	3	57305
57.827	0.0	10	1	57827
59.338	0.0	210	3	59338
59.86	0.0	20	2	59860
61.372	0.0	220	4	61372
61.894	0.0	10	1	61894
63.405	0.0	210	3	63405
63.929	0.0	10	1	63929
65.438	0.0	210	3	65438
65.96	0.0	10	1	65960
67.472	0.0	210	3	67472
67.994	0.0	10	1	67994
69.505	0.0	210	3	69505
70.027	0.0	10	1	70027
71.538	0.0	210	3	71538
72.06	0.0	10	1	72060
73.572	0.0	210	3	73572
74.094	0.0	10	1	74094
75.605	0.0	210	3	75605
76.126	0.0	10	1	76126
77.638	0.0	210	3	77638
78.159	0.0	10	1	78159
79.671	0.0	210	3	79671
80.192	0.0	10	1	80192
81.705	0.0	210	3	81705
82.229	0.0	20	2	82229
83.739	0.0	220	4	83739
84.26	0.0	10	1	84260
85.771	0.0	210	3	85771
86.292	0.0	10	1	86292
87.805	0.0	210	3	87805
88.326	0.0	10	1	88326
89.838	0.0	210	3	89838
90.359	0.0	10	1	90359
91.87	0.0	210	3	91870
92.392	0.0	10	1	92392
93.904	0.0	210	3	93904
94.43	0.0	10	1	94430
95.954	0.0	210	3	95954
96.476	0.0	10	1	96476
97.987	0.0	210	3	97987
98.509	0.0	10	1	98509
100.02	0.0	210	3	100020
100.542	0.0	10	1	100542
102.053	0.0	210	3	102053
102.575	0.0	10	1	102575
104.087	0.0	210	3	104087
104.611	0.0	10	1	104611
106.12	0.0	210	3	106120
106.642	0.0	10	1	106642
108.153	0.0	210	3	108153
108.68	0.0	10	1	108680
110.203	0.0	210	3	110203
110.725	0.0	10	1	110725
112.237	0.0	210	3	112237
112.759	0.0	10	1	112759
114.27	0.0	210	3	114270
114.792	0.0	10	1	114792
116.303	0.0	210	3	116303
116.825	0.0	10	1	116825
118.337	0.0	210	3	118337
118.859	0.0	20	2	118859
120.37	0.0	210	3	120370
120.891	0.0	10	1	120891
122.403	0.0	210	3	122403
122.929	0.0	10	1	122929
124.453	0.0	210	3	124453
124.974	0.0	10	1	124974
126.487	0.0	210	3	126487
127.008	0.0	10	1	127008
128.52	0.0	210	3	128520
129.041	0.0	10	1	129041
130.553	0.0	210	3	130553
131.074	0.0	10	1	131074
132.586	0.0	210	3	132586
133.107	0.0	10	1	133107
134.619	0.0	210	3	134619
135.141	0.0	10	1	135141
136.652	0.0	210	3	136652
137.179	0.0	10	1	137179
138.702	0.0	210	3	138702
139.224	0.0	10	1	139224
140.735	0.0	210	3	140735
141.257	0.0	10	1	141257
142.769	0.0	210	3	142769
143.291	0.0	10	1	143291
144.802	0.0	210	3	144802
145.324	0.0	10	1	145324
146.835	0.0	210	3	146835
147.357	0.0	10	1	147357
148.869	0.0	210	3	148869
149.391	0.0	10	1	149391
150.902	0.0	210	3	150902
151.429	0.0	10	1	151429
152.952	0.0	210	3	152952
153.474	0.0	10	1	153474
154.985	0.0	210	3	154985
155.507	0.0	10	1	155507
157.018	0.0	210	3	157018
157.54	0.0	10	1	157540
159.052	0.0	210	3	159052
159.576	0.0	10	1	159576
161.085	0.0	210	3	161085
161.607	0.0	20	2	161607
163.118	0.0	220	4	163118
163.64	0.0	20	2	163640
165.152	0.0	220	4	165152
165.678	0.0	10	1	165678
167.202	0.0	210	3	167202
167.723	0.0	20	2	167723
169.235	0.0	220	4	169235
169.756	0.0	10	1	169756
171.268	0.0	210	3	171268
171.789	0.0	10	1	171789
173.302	0.0	210	3	173302
173.823	0.0	10	1	173823
175.335	0.0	210	3	175335
175.856	0.0	10	1	175856
177.368	0.0	210	3	177368
177.889	0.0	20	2	177889
179.4	0.0	220	4	179400
179.927	0.0	10	1	179927
181.45	0.0	210	3	181450
181.972	0.0	10	1	181972
183.484	0.0	210	3	183484
184.006	0.0	10	1	184006
185.517	0.0	210	3	185517
186.039	0.0	10	1	186039
187.55	0.0	210	3	187550
