onset	duration	trial_type	value	sample
1.707	0.0	99	5	1707
3.968	0.0	10	1	3968
7.487	0.0	210	3	7487
9.785	0.0	20	2	9785
13.304	0.0	220	4	13304
15.568	0.0	10	1	15568
19.087	0.0	220	4	19087
21.401	0.0	10	1	21401
24.92	0.0	220	4	24920
27.218	0.0	20	2	27218
30.736	0.0	220	4	30736
33.001	0.0	10	1	33001
36.521	0.0	220	4	36521
38.851	0.0	20	2	38851
42.369	0.0	220	4	42369
44.634	0.0	10	1	44634
48.152	0.0	220	4	48152
50.417	0.0	20	2	50417
53.935	0.0	220	4	53935
56.2	0.0	20	2	56200
59.719	0.0	220	4	59719
62.017	0.0	10	1	62017
65.534	0.0	210	3	65534
67.8	0.0	20	2	67800
71.318	0.0	220	4	71318
73.583	0.0	20	2	73583
77.102	0.0	220	4	77102
79.366	0.0	10	1	79366
82.884	0.0	220	4	82884
85.166	0.0	10	1	85166
88.684	0.0	220	4	88684
90.983	0.0	10	1	90983
94.5	0.0	220	4	94500
96.799	0.0	10	1	96799
100.317	0.0	220	4	100317
102.582	0.0	20	2	102582
106.1	0.0	220	4	106100
108.382	0.0	10	1	108382
111.9	0.0	220	4	111900
114.198	0.0	20	2	114198
117.717	0.0	220	4	117717
120.015	0.0	10	1	120015
123.533	0.0	220	4	123533
125.798	0.0	10	1	125798
129.316	0.0	220	4	129316
131.597	0.0	10	1	131597
135.116	0.0	220	4	135116
137.38	0.0	20	2	137380
140.899	0.0	220	4	140899
143.18	0.0	10	1	143180
146.699	0.0	220	4	146699
148.963	0.0	20	2	148963
152.482	0.0	220	4	152482
154.746	0.0	10	1	154746
158.265	0.0	220	4	158265
160.563	0.0	20	2	160563
164.08	0.0	220	4	164080
166.364	0.0	20	2	166364
169.88	0.0	220	4	169880
172.146	0.0	20	2	172146
175.663	0.0	220	4	175663
177.929	0.0	10	1	177929
181.447	0.0	220	4	181447
183.779	0.0	20	2	183779
187.297	0.0	220	4	187297
189.612	0.0	20	2	189612
193.129	0.0	220	4	193129
195.395	0.0	20	2	195395
198.913	0.0	220	4	198913
201.195	0.0	10	1	201195
204.712	0.0	220	4	204712
206.995	0.0	10	1	206995
210.512	0.0	220	4	210512
212.794	0.0	20	2	212794
216.312	0.0	220	4	216312
218.594	0.0	20	2	218594
222.112	0.0	220	4	222112
224.377	0.0	10	1	224377
227.895	0.0	220	4	227895
230.194	0.0	10	1	230194
233.712	0.0	220	4	233712
235.977	0.0	10	1	235977
239.495	0.0	220	4	239495
241.76	0.0	10	1	241760
245.278	0.0	220	4	245278
247.56	0.0	10	1	247560
251.078	0.0	220	4	251078
253.377	0.0	20	2	253377
256.894	0.0	220	4	256894
259.176	0.0	10	1	259176
262.694	0.0	220	4	262694
264.993	0.0	10	1	264993
268.511	0.0	220	4	268511
270.826	0.0	20	2	270826
274.344	0.0	220	4	274344
276.626	0.0	20	2	276626
280.144	0.0	220	4	280144
282.425	0.0	10	1	282425
285.943	0.0	220	4	285943
288.208	0.0	10	1	288208
